user_id,基本面,技術面,籌碼面,消息面,得分,prefer
4504,2,4,0,3,3,['消息面']
4505,8,5,2,3,12,['消息面']
4506,2,2,0,2,0,"['籌碼面', '消息面']"
4507,2,2,0,2,0,"['籌碼面', '消息面']"
4508,3,4,0,3,4,['消息面']
4509,2,2,0,2,0,"['籌碼面', '消息面']"
4510,3,5,1,4,7,['消息面']
4511,14,6,6,6,26,"['技術面', '籌碼面', '消息面']"
4512,2,2,0,3,1,['消息面']
4513,18,5,8,8,33,"['籌碼面', '消息面']"
4514,2,2,0,2,0,"['籌碼面', '消息面']"
4515,10,3,0,3,10,"['籌碼面', '消息面']"
4516,2,2,0,2,0,"['籌碼面', '消息面']"
4517,2,2,0,2,0,"['籌碼面', '消息面']"
4518,7,2,3,2,8,['消息面']
4519,2,4,1,4,5,"['籌碼面', '消息面']"
4520,3,5,1,3,6,['消息面']
4521,3,2,0,2,1,"['籌碼面', '消息面']"
4522,9,2,1,2,8,"['籌碼面', '消息面']"
4523,2,2,0,2,0,"['籌碼面', '消息面']"
4524,3,4,2,4,7,"['籌碼面', '消息面']"
4525,2,2,1,2,1,"['籌碼面', '消息面']"
4526,2,5,0,3,4,['消息面']
4527,12,4,3,4,17,"['籌碼面', '消息面']"
4528,2,2,0,2,0,"['籌碼面', '消息面']"
4529,2,4,0,3,3,['消息面']
4530,2,5,0,3,4,['消息面']
4531,2,2,0,2,0,"['籌碼面', '消息面']"
4532,2,5,0,3,4,['消息面']
4533,2,2,0,2,0,"['籌碼面', '消息面']"
4534,10,5,1,4,14,['消息面']
4535,2,2,0,2,0,"['籌碼面', '消息面']"
4536,3,5,1,5,8,"['籌碼面', '消息面']"
4537,3,5,2,4,8,['消息面']
4538,8,4,8,5,19,['消息面']
4539,2,2,0,2,0,"['籌碼面', '消息面']"
4540,5,4,1,5,9,['消息面']
4541,9,5,2,5,15,"['籌碼面', '消息面']"
4542,3,2,0,2,1,"['籌碼面', '消息面']"
4544,8,5,1,3,11,['消息面']
4545,11,5,6,3,19,['消息面']
4546,14,3,1,3,15,"['籌碼面', '消息面']"
4547,3,5,0,3,5,['消息面']
4548,10,5,6,3,18,['消息面']
4549,7,2,3,2,8,['消息面']
4550,3,4,0,3,4,['消息面']
4551,2,5,1,3,6,['消息面']
4552,12,2,3,4,15,['消息面']
4553,13,5,3,5,20,"['籌碼面', '消息面']"
4554,7,5,5,4,15,"['籌碼面', '消息面']"
4555,2,2,0,2,0,"['籌碼面', '消息面']"
4556,11,5,2,3,15,['消息面']
4557,3,5,0,3,5,['消息面']
4558,10,2,3,2,11,['消息面']
4559,9,4,1,3,11,['消息面']
4560,7,5,4,5,15,"['籌碼面', '消息面']"
4561,7,2,2,3,9,['消息面']
4562,5,6,0,3,8,['消息面']
4563,3,5,1,4,7,['消息面']
