證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年
4987,科誠,10.54,6.32,1.44,0.5815
4991,環宇-KY,18.68,0.9,1.44,1.5238
4995,晶達,10.94,8.17,2.12,0.623
5009,榮剛,25.7,3.04,0.84,0.4531
5011,久陽,0,0,1.22,0.2399
5013,強新,19.07,2.11,1.22,0.0979
5014,建錩,93.56,0,0.82,1.2276
5015,華祺,14.28,6.92,1.78,0.7415
5016,松和,14.35,4.74,1.05,0.426
5102,富強,23.03,3.95,1,0.2766
5201,凱衛,17.69,0.86,2.97,0.6297
5202,力新,0,0,1.25,0.1744
5205,中茂,0,0,14.95,-0.0243
5206,坤悅,5.99,6.6,0.83,0.7727
5209,新鼎,15.3,5.03,5.96,0.724
5210,寶碩,0,0,0.64,0.9698
5211,蒙恬,24.2,2.95,0.83,0.937
5212,凌網,22.7,3.87,4.33,0.8699
5213,亞昕,43.68,0,0.68,0.8373
5220,萬達光電,13.5,5.19,1.61,0.7935
5223,安力-KY,9.52,3.53,0.98,1.0693
5227,立凱-KY,0,0,1.69,1.2126
5230,雷笛克光學,29.94,2.51,0.98,0.7083
5245,智晶,89,4.82,1.33,1.3119
5251,天鉞電,0,0,0.63,0.7212
5263,智崴,17.81,4.79,2.2,1.0372
5272,笙科,94.75,0,1.15,1.2799
5274,信驊,46.95,1.92,14.86,0.9829
5276,達輝-KY,0,0,0.73,0.1474
5278,尚凡,8.41,10.16,5.58,1.2396
5281,大峽谷-KY,26.82,2.19,0.98,1.1658
5287,數字,15.31,5.91,5.26,0.6132
5289,宜鼎,14.35,4.22,3.26,1.16
5291,邑昇,11.96,4.92,1.16,1.1538
5299,杰力,15.3,4.62,4.43,1.583
5301,寶得利,0,0,1.23,0.3689
5302,太欣,0,0,0.62,1.1444
5304,鼎創達,0,0,0.65,0.7169
5306,桂盟,11.24,5.01,2.15,0.7951
5309,系統電,0,0,3.78,1.6202
5310,天剛,0,0,3,0.1517
5312,寶島科,9.95,6.37,1.49,0.7138
5314,世紀,0,0,1.41,0.0616
5315,光聯,15,6.06,1.06,0.7451
5321,友銓,15.78,0,1.58,0.5124
5324,士開,0,0,1.31,0.6056
5328,華容,0,0,0.96,1.5693
5340,建榮,79.83,0,5.4,1.6336
5344,立衛,0,0,1.81,0.9729
5345,天揚,0,0,0.98,0.55
5347,世界,19.23,4.58,3.73,0.8594
5348,系通,0,0,1.16,-0.1545
5349,先豐,0,0,1.61,1.5544
5351,鈺創,0,0,1.24,1.408
5353,台林,12.43,7.87,1.11,0.5903
5355,佳總,0,0,0.53,0.7513
5356,協益,13.8,7.63,0.65,0.8858
5364,力麗店,0,0,1.01,0.003
5371,中光電,12.98,6.29,0.68,0.8926
5381,合正,0,0,0.81,0.842
5383,金利,0,0,2.86,1.1431
5386,青雲,47.42,3.19,1.98,1.3126
5392,應華,18.69,2.88,0.75,1.2536
5398,慕康生醫,48.24,1.22,2.17,0.2844
5403,中菲,11.59,6.75,2.13,0.527
5410,國眾,10.34,7.48,1.49,0.6547
5425,台半,16.83,3.89,1.63,1.5067
5426,振發,0,0,0.7,0.5361
5432,達威,4.75,0,0.98,0.5524
5438,東友,28.75,3.48,0.79,0.3394
5439,高技,17.33,5.15,2.33,1.1767
5443,均豪,12.15,8.17,1.27,1.2272
5450,寶聯通,25.52,0,1.58,1.1772
5452,佶優,25.88,3.54,0.49,0.9091
5455,昇益,5.87,0,2.16,-0.0219
5457,宣德,33.61,0.68,5.19,1.6633
5460,同協,15.21,5.02,0.83,0.3706
5464,霖宏,0,4.29,0.73,0.9269
5465,富驊,14.95,7.27,0.99,0.981
5468,凱鈺,0,0,1.81,0.0826
5474,聰泰,10.52,5.54,2.5,0.9825
5475,德宏,0,0,0.64,0.9347
5478,智冠,17.82,4.49,1.82,0.8616
5481,新華,0,0,1.1,0.5914
5483,中美晶,22.56,5.74,1.91,1.3161
5487,通泰,11.67,3.18,1.36,0.803
5488,松普,0,0,0.52,0.9837
5489,彩富,16.41,4.69,1.42,0.2556
5490,同亨,9.49,5.81,1.64,1.269
5493,三聯,9.42,6.14,1.42,0.7663
5498,凱崴,25.12,2.84,1.02,1.228
5508,永信建,15.65,5.75,1.56,0.5432
5511,德昌,6.15,7.55,0.8,0.6068
5512,力麒,8.41,6.37,0.51,0.7475
5514,三豐,9.75,7.69,1.25,0.5301
5516,雙喜,17.27,2.02,1.12,0.3576
5520,力泰,15.51,5.82,1.08,0.2956
5523,豐謙,60,2.78,0.93,0.8633
5529,志嘉,0,0,0.9,0.5915
5530,龍巖,10.13,5.41,1.26,0.6007
5536,聖暉,11.48,6.82,2.65,0.6985
5543,崇佑-KY,33.41,3.8,1.22,0.1765
5601,台聯櫃,108.33,0.81,1.24,0.0147
5603,陸海,0,0,0.68,0.2723
5604,中連貨,8.25,11.14,2.02,0.1558
5609,中菲行,8.44,5.04,1.59,0.7918
5701,劍湖山,0,0,0.48,0.343
5703,亞都,0,0,2.13,0.53
5704,老爺知,27.33,3.4,1.93,0.1928
5820,日盛金,14.97,5.87,0.76,0.6156
5864,致和證,14.82,6.51,0.57,0.6962
5878,台名,15.16,6.51,2.15,0.1087
5902,德記,17.16,0,1.18,0.6649
5903,全家,27.2,2.91,8.33,0.1528
5904,寶雅,25.18,3.44,15.09,0.6054
5905,南仁湖,25.29,2.33,0.69,0.9319
6015,宏遠證,14.93,2.51,0.53,0.4201
6016,康和證,14.81,5.75,0.57,0.6
6020,大展證,0,2.64,0.81,0.3429
6021,大慶證,143.33,0,0.85,0.2711
6023,元大期,11.73,5.83,1.4,0.4119
6026,福邦證,8.48,8.25,0.67,0.7923
6101,寬魚國際,620,0,2.14,0.4702
6103,合邦,30.67,0,2.4,-0.0881
6104,創惟,15.88,5.67,2.22,1.1775
6109,亞元,40.6,0,0.96,0.7521
6111,大宇資,10.58,4.19,4.38,1.3666
6113,亞矽,0,0,0.57,0.9804
6114,久威,5.66,5.11,0.82,1.0802
6118,建達,0,0,0.77,1.2828
6121,新普,14.48,4.76,2.35,1.0858
6122,擎邦,17.1,5.32,0.91,0.8886
6123,上奇,10.99,8.86,2.28,0.7952
6124,業強,26.39,0,2.03,1.4938
6125,廣運,3.18,2.91,0.95,1.0286
6126,信音,12.62,4.55,1.4,0.8691
6127,九豪,0,0,1.66,1.5655
6129,普誠,0,0,0.62,1.2494
6130,星寶國際,0,0,3.01,0.3857
6134,萬旭,78.25,0,0.89,0.8162
6138,茂達,14.47,6.06,2.42,1.2912
6140,訊達,124.38,0,0.94,0.7662
6143,振曜,12.81,7.72,1.46,1.0826
6144,得利影,0,0,1.47,0.2346
6146,耕興,26.82,3.08,4.99,0.7237
6147,頎邦,9.63,7.06,1.27,1.0963
6148,驊宏資,17.25,2.9,0.95,0.9281
6150,撼訊,0,0,4.17,1.2761
6151,晉倫,14.51,5.18,1.18,0.5252
6154,順發,30.63,4.9,0.81,0.6103
6156,松上,10.8,1.75,0.81,0.8449
6158,禾昌,992.5,1.51,1.33,1.2596
6160,欣技,0,0,1.04,0.8254
